resp RT id s1 s2 phi1 phi2
d 0.8189 vp01 8.7 8.3 0.0348501711487 1.9015423566
d 0.6348 vp01 7.1 8.7 2.29555919186 6.24344339358
s 1.2217 vp01 7.9 8.3 4.70691637881 5.8292600895
s 1.0871 vp01 9.1 8.3 4.91960026631 0.414519770634
d 0.8493 vp01 6.7 6.7 1.88324997888 4.64611142393
d 1.9057 vp01 7.9 7.1 1.98342843155 6.16676602273
s 0.7548 vp01 8.3 8.3 1.27212402571 1.59025831793
d 1.7769 vp01 8.3 8.7 0.787914878773 5.65409383051
d 0.8893 vp01 7.5 6.7 6.21924695391 2.24816349925
s 0.9424 vp01 7.9 8.3 6.03720261547 0.672543491891
d 1.5836 vp01 7.9 7.9 1.9268855524 1.09628120691
d 0.9299 vp01 5.9 7.5 1.37995764762 1.58844775333
d 1.3153 vp01 7.5 6.3 0.791452673268 2.23209508279
d 0.7949 vp01 8.7 6.7 2.39346628973 2.67533320849
s 0.9868 vp01 6.7 6.7 2.84866185537 2.82147269449
d 2.0737 vp01 7.1 7.5 2.39230074865 2.61013379867
d 1.1919 vp01 8.7 8.7 2.25515061379 5.97972808664
d 0.5062 vp01 7.9 7.1 0.865303301601 5.38220065689
s 1.2833 vp01 8.3 8.7 0.800297794253 2.04039564859
d 0.7317 vp01 7.9 7.9 1.91318510747 1.07083240152
s 1.0593 vp01 7.1 7.5 5.16995643507 3.55415219555
s 1.8035 vp01 8.3 8.7 3.09974802175 1.92568151856
s 1.1626 vp01 7.1 7.1 4.04845116846 4.39064659803
d 0.4925 vp01 9.1 7.9 0.827878433051 2.68652777768
s 1.331 vp01 5.9 6.7 0.237769906923 1.09636248421
d 1.6038 vp01 7.1 6.3 2.52447992238 2.31587592709
d 1.868 vp01 6.7 6.7 2.21119578473 3.44511909298
d 1.4357 vp01 7.9 7.9 2.40434487428 2.32550859386
d 0.9238 vp01 7.1 6.7 1.63611149566 0.462590501474
s 0.7958 vp01 7.1 6.7 2.88858246403 2.80979283734
d 1.0283 vp01 7.1 7.1 4.38795860793 4.08454976391
s 1.4588 vp01 6.3 5.9 1.97867646528 4.40590248144
d 0.8276 vp01 6.7 7.5 0.0359543439451 1.87245499908
d 0.6352 vp01 8.7 7.5 0.166033388557 2.47431445882
s 1.7784 vp01 5.9 5.9 3.48008860542 4.25859143392
d 1.6029 vp01 7.5 7.1 2.9386798019 3.06879128808
s 2.3541 vp01 6.7 6.7 1.71869971087 2.36130121538
s 1.1706 vp01 5.9 5.9 1.33217697894 2.79375228931
d 0.4745 vp01 7.1 7.5 0.230948500837 2.39397120711
s 1.8578 vp01 8.7 8.3 5.1304883772 0.425078807143
d 1.1872 vp01 6.3 6.3 0.643641261168 4.14459114938
s 1.6665 vp01 7.9 7.9 3.96795768245 5.331164694
s 1.4833 vp01 5.9 6.7 6.20820852499 5.60103285731
d 0.7867 vp01 6.7 5.9 1.0606038143 5.9028256591
d 0.5775 vp01 7.1 6.7 1.02776001355 5.98354470997
d 0.6974 vp01 6.3 6.7 5.46570625631 2.19851478379
d 0.916 vp01 7.1 7.5 2.49671587622 4.49268805906
d 1.0037 vp01 7.9 8.3 5.24754479687 1.01235983531
d 0.3795 vp01 7.1 7.9 0.705418478513 0.832434307911
d 1.7316 vp01 7.5 7.9 5.60163105026 2.57327908035
s 2.252 vp01 5.9 6.7 0.729327718873 3.92664677184
d 0.4358 vp01 8.3 7.1 5.69325793662 5.69791380295
s 1.9781 vp01 6.7 5.9 4.03639799587 1.13529301724
d 0.8843 vp01 6.3 7.5 2.79906960088 6.25878979925
s 0.8846 vp01 8.7 9.1 4.77828785219 3.12417844545
d 1.2026 vp01 5.9 7.5 1.56456106847 2.82712958921
s 1.0042 vp01 6.3 6.3 4.13481397965 4.50791983598
s 1.0521 vp01 6.7 6.7 3.03794711175 2.67996269902
s 1.1453 vp01 7.9 7.5 0.956796628161 1.63165076463
d 0.6246 vp01 7.9 6.7 2.32716378917 2.74363301091
s 1.0484 vp01 9.1 9.1 3.99814323867 4.24674562542
s 1.7395 vp01 6.3 6.3 5.90927503814 0.318938584503
s 1.3719 vp01 8.3 8.7 3.3793685526 2.82857417905
d 0.6276 vp01 6.7 7.9 0.237498688871 1.44834947325
s 1.2357 vp01 8.3 8.3 4.93006291715 1.12813923691
d 1.9401 vp01 7.9 7.1 2.87293767267 1.06329599192
s 1.6506 vp01 8.3 8.3 5.42435248692 1.40541013045
d 0.3958 vp01 7.5 8.3 2.05283862294 5.77661443572
d 0.5483 vp01 7.1 7.5 3.95495019158 6.10419523563
d 0.6281 vp01 7.5 8.3 4.82933567673 5.42896065934
d 0.588 vp01 7.1 8.7 3.03535902558 1.6566540033
d 1.0439 vp01 7.1 6.3 3.14916506566 2.80406462782
s 1.8359 vp01 6.3 5.9 2.34547069781 2.14981671689
s 1.3078 vp01 8.3 8.3 3.82582260758 5.03224438206
s 1.9319 vp01 9.1 9.1 4.28480018216 3.24479509017
d 1.8253 vp01 5.9 6.7 2.19135111809 6.26995167205
d 0.6929 vp01 6.3 8.3 0.718985308571 4.33339667935
s 1.373 vp01 7.1 6.7 5.16458457994 5.66135648498
s 1.324 vp01 7.1 7.1 4.32049881602 4.70058467674
d 1.2356 vp01 8.7 8.3 3.95301609427 1.34733278529
d 1.06 vp01 6.3 6.3 6.21854605844 3.26699539445
d 0.8271 vp01 8.3 7.5 1.8648159053 0.963762023511
d 0.6041 vp01 7.5 8.3 0.19771444751 3.07931048441
d 0.572 vp01 7.5 9.1 2.10498569095 0.0702222868462
s 1.4986 vp01 7.5 7.5 5.69332286104 6.21526883278
s 1.6426 vp01 7.1 7.9 0.984472683535 5.49015884058
d 0.7157 vp01 7.1 7.9 3.26687544655 1.39700871112
d 0.7717 vp01 5.9 7.1 3.70388474845 2.55792757692
d 1.4363 vp01 7.1 8.7 2.63143014981 5.77553361911
d 0.5717 vp01 8.7 7.1 5.40954811602 1.93091221034
s 1.7068 vp01 7.9 7.9 3.00541850663 1.43497035912
s 1.5076 vp01 8.3 8.3 2.3638936613 2.37164606126
d 1.0036 vp01 8.3 8.3 3.61943557264 6.19920810806
d 1.3475 vp01 6.7 6.7 4.74356303363 4.07774341305
d 0.8437 vp01 8.3 8.7 3.12476215117 0.124921236511
d 1.3797 vp01 6.7 7.5 5.07976460805 4.32258132048
d 0.8838 vp01 7.9 9.1 3.57671096827 3.38893832186
s 0.9635 vp01 6.7 5.9 2.75696586065 0.704288635927
d 0.7234 vp01 7.5 8.7 5.17952235006 6.26095781225
s 1.7557 vp01 6.7 5.9 4.58186793187 3.55756312306
d 1.2027 vp01 7.9 8.7 5.05325453051 4.71620702862
d 0.4754 vp01 8.7 7.9 1.57479131086 4.29612046163
d 0.6186 vp01 7.1 8.7 2.08654200887 0.0133072913351
s 0.9324 vp01 9.1 8.7 3.70804056941 1.92038679743
s 1.4755 vp01 8.7 8.7 3.09478266125 5.15845914101
d 0.7098 vp01 7.5 6.3 1.66808113618 1.60557119049
s 0.7797 vp01 7.9 8.3 1.12673564539 3.43694561661
d 1.6922 vp01 7.5 7.1 2.75653771675 2.31299144202
d 1.3717 vp01 6.7 7.9 0.256824830233 1.47840056657
s 1.3564 vp01 7.5 7.1 5.95806596068 1.32974182443
d 1.2437 vp01 6.7 6.7 1.77092311883 0.253652073213
d 0.9084 vp01 6.3 6.3 5.53082426862 3.78028469973
d 0.8919 vp01 7.9 8.7 6.180446107 1.4211072669
d 1.4121 vp01 7.5 6.7 3.19165926393 0.926710573057
d 0.6199 vp01 6.3 5.9 0.34823057109 4.85845217605
s 0.9637 vp01 7.5 7.5 3.41680661785 2.66974425394
d 0.9956 vp01 8.7 7.5 1.12346996904 2.07365823292
s 1.244 vp01 5.9 7.1 1.62512549179 0.644551740857
s 1.6359 vp01 7.9 7.9 0.167575644636 1.33073103175
s 1.348 vp01 7.1 6.3 1.61539947456 0.829929010114
d 1.3472 vp01 8.3 6.7 0.75582008646 0.335952416691
s 0.7795 vp01 8.7 8.3 2.34665510919 0.578487991733
d 1.0751 vp01 6.7 6.7 5.0530705749 1.24249190422
s 1.2678 vp01 7.1 7.5 0.695503240126 4.9254967683
s 0.8036 vp01 9.1 9.1 0.44572292332 2.97264260535
s 1.9794 vp01 6.3 7.1 5.41432680016 4.18378451815
s 0.7402 vp01 9.1 9.1 5.81457482951 5.71202039727
d 1.4438 vp01 7.9 7.9 5.60507367156 3.7833513548
d 0.9964 vp01 7.1 7.9 4.32590099092 5.90202610317
d 0.7801 vp01 8.3 8.7 3.52664402697 2.54193157807
s 0.9796 vp01 7.1 7.1 2.00942695801 5.65117155602
d 1.124 vp01 7.9 7.9 1.33061814998 3.3848067141
s 2.3238 vp01 6.7 6.7 6.06476971105 5.69829962879
d 0.3794 vp01 7.9 6.7 4.8492370732 1.94368252752
d 0.7202 vp01 8.3 7.9 1.58799298595 5.41434605482
s 0.656 vp01 7.5 7.5 0.836527009469 0.267165081976
d 0.5233 vp01 8.3 6.3 0.912690381175 4.6166021823
d 0.8838 vp01 8.7 9.1 5.98265069017 6.26785454513
d 0.8119 vp01 7.5 6.3 3.68966530008 1.57577584209
s 0.683 vp01 8.3 8.7 4.73934897955 5.65340773165
d 1.1084 vp01 7.9 7.9 4.46856382904 3.66832809835
s 1.3474 vp01 8.7 9.1 6.0297103618 2.37910354087
d 0.7239 vp01 7.5 8.3 1.95772714989 3.34191605981
d 1.092 vp01 7.1 6.7 5.59847926303 2.0318682066
d 1.268 vp01 6.7 6.7 6.01577814659 3.43607554611
d 1.0674 vp01 6.3 7.9 1.43551430455 2.42880517394
s 1.3318 vp01 7.1 7.5 0.667284467962 4.79099406698
s 1.4835 vp01 6.3 6.3 3.61866558664 5.7518171583
s 1.1079 vp01 8.3 8.3 3.91542499153 4.81690858822
d 0.7724 vp01 9.1 8.3 5.36150935814 4.20679772804
s 1.2003 vp01 7.9 7.9 4.23403695034 5.43093926703
d 0.6919 vp01 7.5 5.9 1.97548186206 4.78512428479
s 1.6762 vp01 8.7 8.3 4.94541879004 6.05234024849
d 1.7163 vp01 7.5 6.3 4.63645801786 2.74508761847
d 1.5322 vp01 7.5 7.9 0.305564549128 2.0133003909
d 2.4919 vp01 7.5 7.5 0.194607570975 4.77920451458
d 0.8354 vp01 6.3 6.7 0.240899378833 4.9912668366
d 0.9323 vp01 7.5 7.5 3.24689463499 6.12742116454
s 0.9314 vp01 6.7 6.3 3.7370195773 6.02433452848
d 1.4116 vp01 6.7 5.9 2.9440893516 4.4126833996
d 1.0912 vp01 6.7 7.5 4.92288180095 3.38082930162
d 0.7162 vp01 7.5 8.3 3.82310577952 1.74065972851
s 0.9163 vp01 8.3 8.3 1.22299528042 0.550638975396
d 1.805 vp01 7.9 6.3 1.46397058154 4.67072818281
s 0.9081 vp01 5.9 6.7 5.01032091247 4.3771762826
s 0.6508 vp01 7.9 7.5 2.28664885611 3.28068946539
d 1.4265 vp01 5.9 5.9 3.96218206605 2.92147317136
d 1.3875 vp01 8.3 8.3 5.59883699979 5.0566853025
d 0.8357 vp01 6.3 6.3 5.72479933599 3.86098478975
s 0.9875 vp01 9.1 8.7 0.32307517992 1.01672352305
d 0.547 vp01 7.9 6.3 2.07000013935 2.61982031574
s 1.284 vp01 7.1 7.1 4.64072713516 1.30231113556
d 0.9716 vp01 8.7 6.7 2.51220782872 5.05778167096
d 1.4436 vp01 9.1 7.9 6.12669417166 4.62935291342
d 1.0122 vp01 6.7 5.9 0.896532563775 0.0142532462399
d 1.9242 vp01 7.1 5.9 3.58849357343 1.80241011388
d 1.7402 vp01 7.9 8.3 3.1267535895 5.86344857737
s 1.3798 vp01 7.1 6.3 3.77614557863 1.78987434859
d 1.1877 vp01 7.5 8.3 3.82468666692 3.59575953499
d 1.4852 vp01 8.3 7.1 3.85880444172 3.61539710047
s 0.6301 vp01 7.9 8.3 3.40091069135 3.34718818485
d 0.8761 vp01 7.9 7.9 3.21510911481 2.86363132967
d 1.5408 vp01 7.9 7.9 1.40927883487 4.27704139873
s 0.6837 vp01 5.9 6.3 1.43887974726 4.90046784273
d 1.3079 vp01 6.3 5.9 3.70761081559 5.43804273479
s 1.316 vp01 8.3 8.3 3.29412412252 1.78982410876
s 2.7165 vp01 7.9 7.9 3.52966467998 1.99862064109
d 1.2834 vp01 8.7 9.1 1.72457661432 6.23802724388
s 1.5318 vp01 9.1 9.1 1.75413359851 2.36907401754
s 1.4364 vp01 8.7 9.1 3.36320916821 1.66020732752
d 0.7477 vp01 7.1 7.9 1.23155679964 3.15061967075
s 0.7325 vp01 8.7 8.3 2.58392146195 0.459749601722
d 1.0121 vp01 7.5 7.5 5.50786956044 1.01259612259
s 0.8841 vp01 7.9 7.9 3.88789403556 3.60791206465
d 1.78 vp01 7.9 7.9 2.7168051467 0.238415783361
s 1.8336 vp01 6.3 7.1 3.084601247 4.65830859719
s 0.8024 vp01 5.9 6.3 1.10020627689 3.17022419879
s 0.8836 vp01 9.1 9.1 3.01317645613 2.2887929845
d 1.3066 vp01 6.7 6.3 5.62531467074 5.39687816316
d 0.8187 vp01 8.7 8.3 1.03040479151 5.13730804099
d 1.2281 vp01 7.1 8.3 4.00783997718 6.08804264818
s 1.0115 vp01 8.3 8.3 0.685909630981 0.0829724900955
d 0.8276 vp01 7.9 7.1 5.92119800809 5.29866576114
d 1.0271 vp01 6.3 6.7 0.581075588151 4.9606227404
d 0.9317 vp01 5.9 7.9 5.64570792827 4.52987492188
d 0.4029 vp01 8.7 7.1 2.30799056865 3.44293291306
d 0.7783 vp01 7.1 8.7 0.815965230728 3.4932194968
s 0.4666 vp01 6.7 6.7 3.40375271391 3.43174209554
d 1.0119 vp01 9.1 8.7 5.22016097959 2.2338327178
s 0.9959 vp01 5.9 5.9 1.09025891811 1.35652636213
s 0.68 vp01 7.1 7.5 1.84577500165 3.53873779756
s 0.98 vp01 7.9 8.3 3.10056348001 3.35257346661
s 1.1094 vp01 6.7 6.7 6.14992171591 1.4273660171
s 1.6188 vp01 5.9 5.9 4.36537786602 4.69867732415
s 0.7795 vp01 9.1 9.1 0.359442514098 5.86055014638
d 0.4998 vp01 5.9 7.5 3.50761644431 0.206999780273
