resp RT id ses s1 s2 key
d 1.0201 subj1 1 37.3565244547507 38.693734029132 r
d 0.8597 subj1 1 45.8931771850613 47.452256825764 r
d 0.8166 subj1 1 38.693734029132 44.34171106974 r
s 1.0389 subj1 1 44.34171106974 44.34171106974 l
s 0.9291 subj1 1 45.8931771850613 47.452256825764 l
d 0.6412 subj1 1 38.693734029132 37.3565244547507 r
d 1.2705 subj1 1 45.8931771850613 49.0759061177613 r
d 1.0682 subj1 1 44.34171106974 44.34171106974 r
d 1.3114 subj1 1 44.34171106974 47.452256825764 r
s 0.7664 subj1 1 42.8854555257107 42.8854555257107 l
s 0.9861 subj1 1 42.8854555257107 40.0577759806347 l
s 0.838 subj1 1 41.4352684529587 38.693734029132 l
s 1.0633 subj1 1 45.8931771850613 45.8931771850613 l
s 0.8844 subj1 1 42.8854555257107 42.8854555257107 l
s 0.8301 subj1 1 49.0759061177613 49.0759061177613 l
s 1.022 subj1 1 38.693734029132 41.4352684529587 l
s 0.7146 subj1 1 45.8931771850613 45.8931771850613 l
d 0.8314 subj1 1 42.8854555257107 40.0577759806347 r
d 0.784 subj1 1 40.0577759806347 38.693734029132 r
s 0.8762 subj1 1 40.0577759806347 40.0577759806347 l
s 0.9173 subj1 1 40.0577759806347 42.8854555257107 l
s 0.7983 subj1 1 38.693734029132 38.693734029132 l
s 0.8851 subj1 1 41.4352684529587 41.4352684529587 l
s 1.7288 subj1 1 41.4352684529587 40.0577759806347 l
d 1.5966 subj1 1 42.8854555257107 38.693734029132 r
s 1.0726 subj1 1 40.0577759806347 41.4352684529587 l
s 0.9776 subj1 1 47.452256825764 47.452256825764 l
d 0.6128 subj1 1 47.452256825764 40.0577759806347 r
d 0.7895 subj1 1 41.4352684529587 40.0577759806347 r
d 0.7768 subj1 1 40.0577759806347 45.8931771850613 r
s 1.2307 subj1 1 45.8931771850613 45.8931771850613 l
d 0.8671 subj1 1 41.4352684529587 40.0577759806347 r
d 0.7608 subj1 1 42.8854555257107 38.693734029132 r
s 1.4945 subj1 1 42.8854555257107 41.4352684529587 l
d 0.7968 subj1 1 42.8854555257107 45.8931771850613 r
s 1.1349 subj1 1 49.0759061177613 47.452256825764 l
d 0.8273 subj1 1 44.34171106974 49.0759061177613 r
d 0.7691 subj1 1 38.693734029132 42.8854555257107 r
s 0.9074 subj1 1 42.8854555257107 42.8854555257107 l
d 0.9328 subj1 1 41.4352684529587 44.34171106974 r
d 0.6822 subj1 1 44.34171106974 49.0759061177613 r
s 0.8808 subj1 1 41.4352684529587 41.4352684529587 l
s 1.5912 subj1 1 45.8931771850613 45.8931771850613 l
d 0.7996 subj1 1 49.0759061177613 42.8854555257107 r
d 0.9861 subj1 1 44.34171106974 44.34171106974 r
d 1.0228 subj1 1 42.8854555257107 42.8854555257107 r
d 0.659 subj1 1 42.8854555257107 47.452256825764 r
s 1.1029 subj1 1 37.3565244547507 40.0577759806347 l
s 1.0122 subj1 1 37.3565244547507 37.3565244547507 l
d 0.7344 subj1 1 44.34171106974 47.452256825764 r
s 1.1186 subj1 1 47.452256825764 47.452256825764 l
d 0.9933 subj1 1 40.0577759806347 41.4352684529587 r
d 0.7463 subj1 1 40.0577759806347 44.34171106974 r
s 1.1629 subj1 1 45.8931771850613 41.4352684529587 l
d 1.1265 subj1 1 49.0759061177613 41.4352684529587 r
d 0.8861 subj1 1 41.4352684529587 49.0759061177613 r
s 1.1317 subj1 1 37.3565244547507 37.3565244547507 l
s 0.8909 subj1 1 45.8931771850613 44.34171106974 l
d 0.735 subj1 1 42.8854555257107 49.0759061177613 r
s 1.1695 subj1 1 45.8931771850613 45.8931771850613 l
s 1.0586 subj1 1 40.0577759806347 38.693734029132 l
d 1.5377 subj1 1 41.4352684529587 40.0577759806347 r
s 0.7517 subj1 1 38.693734029132 40.0577759806347 l
d 1.0892 subj1 1 41.4352684529587 40.0577759806347 r
s 1.0461 subj1 1 42.8854555257107 41.4352684529587 l
d 0.9332 subj1 1 38.693734029132 38.693734029132 r
d 0.7157 subj1 1 42.8854555257107 45.8931771850613 r
d 0.7488 subj1 1 41.4352684529587 37.3565244547507 r
d 0.7645 subj1 1 42.8854555257107 37.3565244547507 r
s 0.9846 subj1 1 45.8931771850613 44.34171106974 l
d 0.7201 subj1 1 40.0577759806347 44.34171106974 r
d 0.7523 subj1 1 40.0577759806347 44.34171106974 r
d 1.154 subj1 1 37.3565244547507 37.3565244547507 r
d 0.6486 subj1 1 45.8931771850613 47.452256825764 r
d 0.9617 subj1 1 38.693734029132 38.693734029132 r
d 0.7773 subj1 1 44.34171106974 47.452256825764 r
d 0.8824 subj1 1 38.693734029132 37.3565244547507 r
d 0.7604 subj1 1 47.452256825764 44.34171106974 r
d 0.6634 subj1 1 38.693734029132 44.34171106974 r
d 0.6768 subj1 1 47.452256825764 47.452256825764 r
s 0.8708 subj1 1 37.3565244547507 37.3565244547507 l
d 0.7659 subj1 1 44.34171106974 47.452256825764 r
d 0.6528 subj1 1 38.693734029132 42.8854555257107 r
d 0.6081 subj1 1 37.3565244547507 38.693734029132 r
s 1.1067 subj1 1 44.34171106974 44.34171106974 l
s 0.9455 subj1 1 49.0759061177613 45.8931771850613 l
d 1.4449 subj1 1 37.3565244547507 41.4352684529587 r
d 0.7792 subj1 1 37.3565244547507 41.4352684529587 r
d 1.1996 subj1 1 44.34171106974 45.8931771850613 r
d 1.1629 subj1 1 41.4352684529587 41.4352684529587 r
s 1.044 subj1 1 45.8931771850613 44.34171106974 l
s 0.8174 subj1 1 44.34171106974 44.34171106974 l
s 0.9219 subj1 1 45.8931771850613 47.452256825764 l
s 1.0317 subj1 1 47.452256825764 49.0759061177613 l
d 0.6051 subj1 1 38.693734029132 47.452256825764 r
d 1.0477 subj1 1 41.4352684529587 45.8931771850613 r
d 0.7196 subj1 1 38.693734029132 38.693734029132 r
